food,group,group id
almonds,Nut and Seed Products,1200
walnuts,Nut and Seed Products,1200
cashews,Nut and Seed Products,1200
pistachios,Nut and Seed Products,1200
sunflower seeds,Nut and Seed Products,1200
fat free cottage cheese,Dairy and Egg Products,0100
egg,Dairy and Egg Products,0100
carrots,Vegetables and Vegetable Products,1100
celery,Vegetables and Vegetable Products,1100
bell pepper,Vegetables and Vegetable Products,1100
grapes,Fruits and Fruit Juices,0900
strawberries,Fruits and Fruit Juices,0900
raspberries,Fruits and Fruit Juices,0900
blueberries,Fruits and Fruit Juices,0900
mozzerella,Dairy and Egg Products,0100
cheddar,Dairy and Egg Products,0100
cherry tomato,Vegetables and Vegetable Products,1100
balsamic vinegar,Spices and Herbs,0200
firm tofu,Legumes and Legume Products,1600
cherries,Fruits and Fruit Juices,0900
chicken breast,Poultry Products,0500
smoked salmon,Finfish and Shellfish Products,1500
jicama,Vegetables and Vegetable Products,1100
fat free greek yogurt,Dairy and Egg Products,0100
bacon,Pork Products,1000